leading_item_id,following_item_id,value
XIIEJNEE,GMBFCMIU,137912
RJCAXSGH,KFQSHBNH,10057792
FTSVTTSR,RUVXNNVA,137985
NAQIHUKZ,RUVXNNVA,138192
GMBFCMIU,DJBLNPNC,139780
XIIEJNEE,IGDVVKUD,152471
XIIEJNEE,DJBLNPNC,139779
NAQIHUKZ,FTSVTTSR,320931
NAQIHUKZ,LLHREMKS,181779
RUVXNNVA,LLHREMKS,181787
FTSVTTSR,LLHREMKS,181571
BLANHGYY,BSRMSVTC,469987
QSDCUCLB,IGDVVKUD,152471
KFQSHBNH,RJCAXSGH,4626872
QRKRBYJL,QVLMOEYE,1082645
XUOIQPFL,QVLMOEYE,1081139
DJBLNPNC,FDXPMYGF,140575
JSLXRQOK,FTSVTTSR,320888
JSLXRQOK,RUVXNNVA,138191
IGDVVKUD,GMBFCMIU,138179
GMBFCMIU,FDXPMYGF,140578
ATLDMDBO,QRKRBYJL,2256493
GMBFCMIU,ANWUJOKX,138192
ZKENOUDA,DEWLVASR,561911
QSDCUCLB,GMBFCMIU,138192
QSDCUCLB,DJBLNPNC,139780
JSLXRQOK,LLHREMKS,181770
OGAFEHLU,QVLMOEYE,1086266
IGDVVKUD,DJBLNPNC,139774
QSDCUCLB,XIIEJNEE,178242
QRKRBYJL,ATLDMDBO,43513430
QRKRBYJL,DNMPSKTB,4920885
BSRMSVTC,TANNMIMB,138084
LRVGFDFM,QVLMOEYE,1066679
JSLXRQOK,NAQIHUKZ,138187
DJBLNPNC,BSRMSVTC,469995
QVLMOEYE,DNMPSKTB,4927282
FWUCPMMW,LLHREMKS,181787
XUOIQPFL,SDWAYPIK,5826973
UGEQLMXM,QVLMOEYE,1086112
QVLMOEYE,QRKRBYJL,2306450
UGEQLMXM,GMBFCMIU,138038
VBYCLTYZ,QVLMOEYE,1086140
QVLMOEYE,AXULOHBQ,188489
XIFHSOWQ,XIPPENFQ,260858
XIIEJNEE,BTMOEMEP,14634292
VWMBASNE,MIRCVAMV,194518
OGAFEHLU,QRKRBYJL,2307971
DEWLVASR,KFQSHBNH,10064184
DNMPSKTB,QVLMOEYE,1078400
GMBFCMIU,BLANHGYY,186162
QRKRBYJL,AXULOHBQ,182229
