leading_item_id,following_item_id,value
QVLMOEYE,VBYCLTYZ,360914
UIFPPCLR,UXSPKBJR,490897
ELQGMQWE,KFQSHBNH,9654609
XIFHSOWQ,VWMBASNE,88480
LSOIUSXD,VUAFAIYJ,582844
QVLMOEYE,UXSPKBJR,490897
VUAFAIYJ,KFQSHBNH,9654609
WBLJNPZQ,LRVGFDFM,11241783
UGEQLMXM,VBYCLTYZ,360914
VMAQSTJE,KEUWZRKO,413339
FRHNWLNI,DUCMGGNW,640042
VBYCLTYZ,APQGTRMF,25527
VWMBASNE,WBLJNPZQ,149247
OGAFEHLU,DBWLZWNK,162894
LPHPPJUG,DDEXPPXU,14150
ELQGMQWE,RJCAXSGH,4423848
WBLJNPZQ,PLMZALFA,0
BSRMSVTC,UIFPPCLR,81900
QVLMOEYE,DJBLNPNC,1044
OGAFEHLU,FCYBOAXC,111121953
WPQXWHYO,RJGPVEXX,605191
QVLMOEYE,RCBZUSIM,7614
WBLJNPZQ,CCLHWFWF,14101580
ROACSLMG,BTMOEMEP,13823982
LPHPPJUG,FQCLOEXA,1906189
BSRMSVTC,PLMZALFA,0
VWMBASNE,CCLHWFWF,14101580
DNMPSKTB,LRVGFDFM,11241783
QVLMOEYE,QRKRBYJL,2217855
VBYCLTYZ,IGDVVKUD,12326
BSRMSVTC,OGAFEHLU,0
GIKPEWTY,CCLHWFWF,14101580
MIRCVAMV,CCLHWFWF,14101580
VBYCLTYZ,BTMOEMEP,13823982
RJGPVEXX,AANGBULD,324918
QVLMOEYE,OKMBFVKS,1836910
BSRMSVTC,KEUWZRKO,413339
UXSPKBJR,DBWLZWNK,162894
UXSPKBJR,IGDVVKUD,12326
WBLJNPZQ,PYZMVUWD,4701
OKMBFVKS,UIFPPCLR,81900
DBWLZWNK,APQGTRMF,25527
LTOYKIML,VUAFAIYJ,582844
XMKRPGLB,ROACSLMG,2165616
OGAFEHLU,VWMBASNE,88480
JPBRUTWP,VBYCLTYZ,360914
WBLJNPZQ,VWMBASNE,88480
LSOIUSXD,QVLMOEYE,967095
UGEQLMXM,OGAFEHLU,0
UIFPPCLR,VBYCLTYZ,360914
DBWLZWNK,VBYCLTYZ,360914
VWMBASNE,MIRCVAMV,44884
VWMBASNE,LRVGFDFM,11241783
UIFPPCLR,ANWUJOKX,0
TANNMIMB,VWMBASNE,88480
UXSPKBJR,APQGTRMF,25527
QVLMOEYE,SDWAYPIK,5358826
QSDCUCLB,LRVGFDFM,11241783
BSRMSVTC,JBVHSUWY,322065
FRHNWLNI,QRKRBYJL,2217855
VBYCLTYZ,JPBRUTWP,5601918
UXSPKBJR,SDWAYPIK,5358826
UXSPKBJR,ANWUJOKX,0
QVLMOEYE,JPBRUTWP,5601918
OKMBFVKS,GYHKIVQT,15789498
VBYCLTYZ,SDWAYPIK,5358826
SDWAYPIK,DBWLZWNK,162894
QRKRBYJL,VBYCLTYZ,360914
BSRMSVTC,LUENUFGA,3702768
UIFPPCLR,GYHKIVQT,15789498
WBLJNPZQ,QRKRBYJL,2217855
WBLJNPZQ,ATLDMDBO,42136251
ROACSLMG,ATLDMDBO,42136251
QVLMOEYE,BEZYMBBT,3486807
UXSPKBJR,DNMPSKTB,5167499
VBYCLTYZ,DJBLNPNC,1044
QRKRBYJL,APQGTRMF,25527
KJNSOAHR,RJCAXSGH,4423848
XIIEJNEE,ROACSLMG,2165616
QRKRBYJL,UIFPPCLR,81900
VMAQSTJE,PYZMVUWD,4701
RJGPVEXX,WPQXWHYO,10908449
DBWLZWNK,GYHKIVQT,15789498
AXULOHBQ,BJALXPFS,134992
OGAFEHLU,LRVGFDFM,11241783
ROACSLMG,IGDVVKUD,12326
BSRMSVTC,LSOIUSXD,206972
DBWLZWNK,QRKRBYJL,2217855
KEUWZRKO,TANNMIMB,0
VBYCLTYZ,QRKRBYJL,2217855
TANNMIMB,KEUWZRKO,413339
DBWLZWNK,WHPUAOID,24027
OKMBFVKS,VWMBASNE,88480
UGEQLMXM,IGDVVKUD,12326
ELQGMQWE,XIIEJNEE,80681
FITUEHWN,SAAYMURU,26666
KEUWZRKO,SAHWCZNH,2023633
RJGPVEXX,VUAFAIYJ,582844
SAHWCZNH,XIFHSOWQ,72107
ZGJXVMNI,RJGPVEXX,605191
QSDCUCLB,OGAFEHLU,0
UIFPPCLR,APQGTRMF,25527
KFQSHBNH,RJCAXSGH,4423848
LSOIUSXD,VWMBASNE,88480
WBLJNPZQ,OKMBFVKS,1836910
XUOIQPFL,DNMPSKTB,5167499
DBWLZWNK,JPBRUTWP,5601918
RCBZUSIM,BSRMSVTC,285558
DBWLZWNK,UXSPKBJR,490897
XIIEJNEE,BUZIIBYG,15330505
OGAFEHLU,DNMPSKTB,5167499
OGAFEHLU,OKMBFVKS,1836910
APQGTRMF,UIFPPCLR,81900
LTOYKIML,FTSVTTSR,170404
SAAYMURU,MBSBZBXA,6160643
LUENUFGA,VWMBASNE,88480
ELQGMQWE,FQCLOEXA,1906189
QVLMOEYE,BTMOEMEP,13823982
JPBRUTWP,ATLDMDBO,42136251
QRKRBYJL,JPBRUTWP,5601918
VBYCLTYZ,UXSPKBJR,490897
SAHWCZNH,KEUWZRKO,413339
WBLJNPZQ,RAWUKQMJ,3602369
QRKRBYJL,GYHKIVQT,15789498
BSRMSVTC,XUOIQPFL,2585695
VUAFAIYJ,LLHREMKS,45947
VBYCLTYZ,BLANHGYY,32823
PLMZALFA,LUENUFGA,3702768
DNMPSKTB,VBYCLTYZ,360914
RAWUKQMJ,HXYSSRXE,5356483
RJGPVEXX,FCYBOAXC,111121953
NZKBIBNU,JSLXRQOK,8039
OGAFEHLU,UIFPPCLR,81900
XIIEJNEE,VBYCLTYZ,360914
NZKBIBNU,FWUCPMMW,9048
QRKRBYJL,SDWAYPIK,5358826
UXSPKBJR,XIIEJNEE,80681
LTOYKIML,XIIEJNEE,80681
TGOELCAG,YSYHGLQK,4320
BUZIIBYG,FRHNWLNI,968919
EVBVXETX,KJNSOAHR,13964898
JPBRUTWP,APQGTRMF,25527
SDWAYPIK,BTMOEMEP,13823982
LLHREMKS,QKXNTIIB,2541941
BTMOEMEP,SDWAYPIK,5358826
QRKRBYJL,OKMBFVKS,1836910
DNMPSKTB,XUOIQPFL,2585695
QRKRBYJL,BTMOEMEP,13823982
DNMPSKTB,JPBRUTWP,5601918
XUOIQPFL,BEZYMBBT,3486807
FDXPMYGF,CCLHWFWF,14101580
QVLMOEYE,APQGTRMF,25527
ELQGMQWE,KJNSOAHR,13964898
BTMOEMEP,UXSPKBJR,490897
ANWUJOKX,BTMOEMEP,13823982
QVLMOEYE,AXULOHBQ,73175
PYZMVUWD,TANNMIMB,0
DBWLZWNK,ANWUJOKX,0
DBWLZWNK,RCBZUSIM,7614
ATLDMDBO,VBYCLTYZ,360914
LUENUFGA,XIFHSOWQ,72107
BSRMSVTC,JPBRUTWP,5601918
FRHNWLNI,VBYCLTYZ,360914
TGOELCAG,KEUWZRKO,413339
BSRMSVTC,VWMBASNE,88480
LLHREMKS,ELQGMQWE,711795
SAHWCZNH,LUENUFGA,3702768
OKMBFVKS,SDWAYPIK,5358826
UXSPKBJR,JPBRUTWP,5601918
QVLMOEYE,VWMBASNE,88480
APQGTRMF,RCBZUSIM,7614
QRKRBYJL,ANWUJOKX,0
ELQGMQWE,AANGBULD,324918
ELQGMQWE,ZXERAXWP,27197
BTMOEMEP,XUOIQPFL,2585695
VBYCLTYZ,FRHNWLNI,968919
HXYSSRXE,XUOIQPFL,2585695
QRKRBYJL,OGAFEHLU,0
BJALXPFS,VMAQSTJE,34540
IGDVVKUD,VBYCLTYZ,360914
OJIFIHMZ,FTSVTTSR,170404
JPBRUTWP,OKMBFVKS,1836910
ROACSLMG,JPBRUTWP,5601918
LTOYKIML,JSLXRQOK,8039
QJQJSWFU,SDWAYPIK,5358826
ANWUJOKX,QVLMOEYE,967095
EVBVXETX,NZKBIBNU,249213
DJBLNPNC,WHPUAOID,24027
XIIEJNEE,QVLMOEYE,967095
GYHKIVQT,QRKRBYJL,2217855
UXSPKBJR,LRVGFDFM,11241783
OKMBFVKS,AXULOHBQ,73175
XUOIQPFL,UXSPKBJR,490897
DBWLZWNK,QVLMOEYE,967095
ATLDMDBO,BTMOEMEP,13823982
OGAFEHLU,UGEQLMXM,173044
FRHNWLNI,HXYSSRXE,5356483
FRHNWLNI,DNMPSKTB,5167499
FQCLOEXA,EVBVXETX,5157814
UIFPPCLR,XUOIQPFL,2585695
SDWAYPIK,VBYCLTYZ,360914
ATLDMDBO,WBLJNPZQ,149247
KEUWZRKO,LUENUFGA,3702768
KFQSHBNH,ZXERAXWP,27197
SDWAYPIK,RCBZUSIM,7614
DBWLZWNK,FWUCPMMW,9048
EVBVXETX,RCBZUSIM,7614
DNMPSKTB,DBWLZWNK,162894
FQCLOEXA,DEWLVASR,417754
XIIEJNEE,EVBVXETX,5157814
DNMPSKTB,APQGTRMF,25527
BEZYMBBT,APQGTRMF,25527
QKXNTIIB,JSLXRQOK,8039
QRKRBYJL,BLANHGYY,32823
ANWUJOKX,APQGTRMF,25527
UGEQLMXM,DBWLZWNK,162894
OGAFEHLU,QSDCUCLB,4
AANGBULD,NAQIHUKZ,0
QRKRBYJL,FRHNWLNI,968919
NZKBIBNU,FRHNWLNI,968919
BTMOEMEP,VBYCLTYZ,360914
SDWAYPIK,VWMBASNE,88480
ANWUJOKX,UXSPKBJR,490897
KEUWZRKO,XIFHSOWQ,72107
LLHREMKS,GKQIJYDH,6426763
UIFPPCLR,SDWAYPIK,5358826
LTOYKIML,NAQIHUKZ,0
EVBVXETX,IGDVVKUD,12326
FDXPMYGF,HXYSSRXE,5356483
UIFPPCLR,HXYSSRXE,5356483
UXSPKBJR,NZKBIBNU,249213
UGEQLMXM,LSOIUSXD,206972
VUAFAIYJ,RJCAXSGH,4423848
JPBRUTWP,QVLMOEYE,967095
FQCLOEXA,FITUEHWN,78659
DNMPSKTB,OKMBFVKS,1836910
ELQGMQWE,FTSVTTSR,170404
